Weeks,W.,B.,ID.,Coach Name,R.,S.,vs.,S.,R.,Coach Name,ID.,R.,S.,,,,,,,,,,,,,
,9,4,3,materia,W,2,vs.,2,L,eragon11145,10,W,2,,,,,,,,,,,,,
,9,5,4,Holy Macaroni,W,1,vs.,1,L,insideoutside,5,W,1,,,,,,,,,,,,,
,1,1,1,Smoke,W,5,vs.,5,L,Squigs,6,W,5,,,,,,,,,,,,,
,1,2,2,rssp1,W,3,vs.,3,L,Picante,7,W,3,,,,,,,,,,,,,
,1,3,3,SonnyDayz,L,5,vs.,5,W,blerg,8,L,-5,,,,,,,,,,,,,
,1,4,4,LuminousFox,L,6,vs.,6,W,Joseph,9,L,-6,,,,,,,,,,,,,
,1,5,5,Tezzy,W,4,vs.,4,L,Adrian,10,W,4,,,,,,,,,,,,,
,2,1,1,Smoke,L,2,vs.,2,W,rssp1,2,L,-2,,,,,,,,,,,,,
,2,2,3,SonnyDayz,L,3,vs.,3,W,Squigs,6,L,-3,,,,,,,,,,,,,
,2,3,4,LuminousFox,W,5,vs.,5,L,Picante,7,W,5,,,,,,,,,,,,,
,2,4,5,Tezzy,W,3,vs.,3,L,blerg,8,W,3,,,,,,,,,,,,,
,2,5,9,Joseph,W,5,vs.,5,L,Adrian,10,W,5,,,,,,,,,,,,,
,3,1,1,Smoke,L,2,vs.,2,W,SonnyDayz,3,L,-2,,,,,,,,,,,,,
,3,2,2,rssp1,W,4,vs.,4,L,LuminousFox,4,W,4,,,,,,,,,,,,,
,3,3,5,Tezzy,W,5,vs.,5,L,Squigs,6,W,5,,,,,,,,,,,,,
,3,4,7,Picante,F,3,vs.,3,W,Adrian,10,L,-3,,,,,,,,,,,,,
,3,5,8,blerg,W,2,vs.,2,L,Joseph,9,W,2,,,,,,,,,,,,,
,4,1,1,Smoke,L,4,vs.,4,W,LuminousFox,4,L,-4,,,,,,,,,,,,,
,4,2,3,SonnyDayz,L,4,vs.,4,W,Tezzy,5,L,-4,,,,,,,,,,,,,
,4,3,2,rssp1,W,1,vs.,1,L,Adrian,10,W,1,,,,,,,,,,,,,
,4,4,6,Squigs,W,3,vs.,3,L,Joseph,9,W,3,,,,,,,,,,,,,
,4,5,7,Picante,F,3,vs.,3,W,blerg,8,L,-3,,,,,,,,,,,,,
,5,1,1,Smoke,L,5,vs.,5,W,Tezzy,5,L,-5,,,,,,,,,,,,,
,5,2,4,LuminousFox,L,1,vs.,1,W,Adrian,10,L,-1,,,,,,,,,,,,,
,5,3,3,SonnyDayz,L,2,vs.,2,W,Joseph,9,L,-2,,,,,,,,,,,,,
,5,4,2,rssp1,L,2,vs.,2,W,blerg,8,L,-2,,,,,,,,,,,,,
,5,5,6,Squigs,W,3,vs.,3,F,Picante,7,W,3,,,,,,,,,,,,,
,6,1,1,Smoke,L,4,vs.,4,W,Adrian,10,L,-4,,,,,,,,,,,,,
,6,2,5,Tezzy,W,3,vs.,3,L,Joseph,9,W,3,,,,,,,,,,,,,
,6,3,4,LuminousFox,L,3,vs.,3,W,blerg,8,L,-3,,,,,,,,,,,,,
,6,4,3,SonnyDayz,W,3,vs.,3,F,Picante,7,W,3,,,,,,,,,,,,,
,6,5,2,rssp1,L,1,vs.,1,W,Squigs,6,L,-1,,,,,,,,,,,,,
,7,1,1,Smoke,L,5,vs.,5,W,Joseph,9,L,-5,,,,,,,,,,,,,
,7,2,8,blerg,W,3,vs.,3,L,Adrian,10,W,3,,,,,,,,,,,,,
,7,3,5,Tezzy,W,3,vs.,3,F,Picante,7,W,3,,,,,,,,,,,,,
,7,4,4,LuminousFox,W,3,vs.,3,L,Squigs,6,W,3,,,,,,,,,,,,,
,7,5,2,rssp1,W,3,vs.,3,L,SonnyDayz,3,W,3,,,,,,,,,,,,,
,8,1,1,Smoke,L,3,vs.,3,W,blerg,8,L,-3,,,,,,,,,,,,,
,8,2,7,Picante,F,3,vs.,3,W,Joseph,9,L,-3,,,,,,,,,,,,,
,8,3,6,Squigs,W,3,vs.,3,L,Adrian,10,W,3,,,,,,,,,,,,,
,8,4,2,rssp1,L,5,vs.,5,W,Tezzy,5,L,-5,,,,,,,,,,,,,
,8,5,3,SonnyDayz,L,3,vs.,3,W,LuminousFox,4,L,-3,,,,,,,,,,,,,
,9,1,1,Smoke,W,3,vs.,3,F,Picante,7,W,3,,,,,,,,,,,,,
,9,2,6,Squigs,W,3,vs.,3,L,blerg,8,W,3,,,,,,,,,,,,,
,9,3,2,rssp1,W,1,vs.,1,L,Joseph,9,W,1,,,,,,,,,,,,,
,9,4,3,SonnyDayz,L,1,vs.,1,W,Adrian,10,L,-1,,,,,,,,,,,,,
,9,5,4,LuminousFox,W,2,vs.,2,L,Tezzy,5,W,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Playoffs,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,The Overgrown Torterras,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
